winner,manufacturer,team,tier,turn_1_carnage,total_cautions,running_at_finish,attrition_rate
Alex Bowman,Chevrolet,Hendrick,strong,False,3,16,0.0
Kyle Larson,Chevrolet,Hendrick,elite,False,5,15,0.0625
Kyle Busch,Chevrolet,RCR,strong,True,4,13,0.1875
Ryan Blaney,Ford,Penske,strong,False,4,14,0.125
Kyle Busch,Chevrolet,RCR,strong,False,2,16,0.0
Christopher Bell,Toyota,Joe Gibbs,elite,False,2,16,0.0
Chase Elliott,Chevrolet,Hendrick,elite,False,4,15,0.0625
Christopher Bell,Toyota,Joe Gibbs,elite,True,3,12,0.25
Shane van Gisbergen,Chevrolet,Trackhouse,specialist,False,2,16,0.0
AJ Allmendinger,Chevrolet,Kaulig,specialist,True,5,10,0.375
AJ Allmendinger,Chevrolet,Kaulig,specialist,False,5,15,0.0625
Kyle Larson,Chevrolet,Hendrick,elite,False,3,16,0.0
Kyle Busch,Chevrolet,RCR,strong,True,4,15,0.0625
Tyler Reddick,Toyota,23XI,elite,False,2,16,0.0
Kyle Busch,Chevrolet,RCR,strong,True,3,14,0.125
Ryan Blaney,Ford,Penske,strong,False,3,15,0.0625
Christopher Bell,Toyota,Joe Gibbs,elite,True,5,11,0.3125
AJ Allmendinger,Chevrolet,Kaulig,specialist,False,5,15,0.0625
Ross Chastain,Chevrolet,Trackhouse,strong,True,3,15,0.0625
AJ Allmendinger,Chevrolet,Kaulig,specialist,True,4,13,0.1875
William Byron,Chevrolet,Hendrick,elite,True,3,14,0.125
Kyle Busch,Chevrolet,RCR,strong,False,3,16,0.0
Connor Zilisch,Chevrolet,Trackhouse,mid,False,3,15,0.0625
Chris Buescher,Ford,RFK,strong,False,2,16,0.0
Chris Buescher,Ford,RFK,strong,True,5,11,0.3125
Christopher Bell,Toyota,Joe Gibbs,elite,False,2,16,0.0
William Byron,Chevrolet,Hendrick,elite,False,3,15,0.0625
Ryan Blaney,Ford,Penske,strong,True,5,11,0.3125
Denny Hamlin,Toyota,Joe Gibbs,elite,False,2,16,0.0
AJ Allmendinger,Chevrolet,Kaulig,specialist,False,4,15,0.0625
Chase Elliott,Chevrolet,Hendrick,elite,True,4,13,0.1875
AJ Allmendinger,Chevrolet,Kaulig,specialist,True,5,12,0.25
Kyle Larson,Chevrolet,Hendrick,elite,False,2,16,0.0
Alex Bowman,Chevrolet,Hendrick,strong,False,4,14,0.125
Tyler Reddick,Toyota,23XI,elite,True,3,13,0.1875
Kyle Larson,Chevrolet,Hendrick,elite,False,4,16,0.0
Christopher Bell,Toyota,Joe Gibbs,elite,False,3,14,0.125
Shane van Gisbergen,Chevrolet,Trackhouse,specialist,True,3,15,0.0625
Tyler Reddick,Toyota,23XI,elite,False,3,15,0.0625
Christopher Bell,Toyota,Joe Gibbs,elite,True,5,13,0.1875
Tyler Reddick,Toyota,23XI,elite,True,4,16,0.0
Joey Logano,Ford,Penske,strong,False,2,16,0.0
Christopher Bell,Toyota,Joe Gibbs,elite,False,2,16,0.0
Kyle Larson,Chevrolet,Hendrick,elite,False,2,16,0.0
Shane van Gisbergen,Chevrolet,Trackhouse,specialist,False,3,15,0.0625
Kyle Larson,Chevrolet,Hendrick,elite,True,4,12,0.25
Ryan Blaney,Ford,Penske,strong,False,3,15,0.0625
Joey Logano,Ford,Penske,strong,False,2,16,0.0
Alex Bowman,Chevrolet,Hendrick,strong,True,5,13,0.1875
Daniel Suarez,Chevrolet,Spire,mid,True,4,14,0.125
Chase Elliott,Chevrolet,Hendrick,elite,False,2,16,0.0
Joey Logano,Ford,Penske,strong,False,2,16,0.0
Tyler Reddick,Toyota,23XI,elite,True,4,14,0.125
Chris Buescher,Ford,RFK,strong,False,2,16,0.0
Ross Chastain,Chevrolet,Trackhouse,strong,False,2,16,0.0
AJ Allmendinger,Chevrolet,Kaulig,specialist,False,4,14,0.125
Alex Bowman,Chevrolet,Hendrick,strong,True,5,12,0.25
Kyle Larson,Chevrolet,Hendrick,elite,False,2,16,0.0
William Byron,Chevrolet,Hendrick,elite,True,3,13,0.1875
Joey Logano,Ford,Penske,strong,False,3,16,0.0
Chase Elliott,Chevrolet,Hendrick,elite,False,2,16,0.0
Chase Elliott,Chevrolet,Hendrick,elite,False,4,13,0.1875
William Byron,Chevrolet,Hendrick,elite,False,3,15,0.0625
Kyle Busch,Chevrolet,RCR,strong,False,5,13,0.1875
Shane van Gisbergen,Chevrolet,Trackhouse,specialist,False,3,15,0.0625
Denny Hamlin,Toyota,Joe Gibbs,elite,True,4,13,0.1875
AJ Allmendinger,Chevrolet,Kaulig,specialist,False,5,13,0.1875
Kyle Larson,Chevrolet,Hendrick,elite,False,6,11,0.3125
Daniel Suarez,Chevrolet,Spire,mid,False,3,15,0.0625
Connor Zilisch,Chevrolet,Trackhouse,mid,True,4,14,0.125
Ross Chastain,Chevrolet,Trackhouse,strong,False,4,13,0.1875
Kyle Busch,Chevrolet,RCR,strong,True,3,14,0.125
Alex Bowman,Chevrolet,Hendrick,strong,False,2,16,0.0
William Byron,Chevrolet,Hendrick,elite,False,3,16,0.0
Daniel Suarez,Chevrolet,Spire,mid,True,4,14,0.125
Shane van Gisbergen,Chevrolet,Trackhouse,specialist,True,5,12,0.25
Daniel Suarez,Chevrolet,Spire,mid,True,4,14,0.125
Shane van Gisbergen,Chevrolet,Trackhouse,specialist,True,6,12,0.25
Ross Chastain,Chevrolet,Trackhouse,strong,False,3,16,0.0
Kyle Larson,Chevrolet,Hendrick,elite,False,5,14,0.125
Ross Chastain,Chevrolet,Trackhouse,strong,False,3,16,0.0
Daniel Suarez,Chevrolet,Spire,mid,False,4,14,0.125
Chris Buescher,Ford,RFK,strong,False,2,16,0.0
Joey Logano,Ford,Penske,strong,False,2,16,0.0
Daniel Suarez,Chevrolet,Spire,mid,False,2,16,0.0
Daniel Suarez,Chevrolet,Spire,mid,False,4,15,0.0625
William Byron,Chevrolet,Hendrick,elite,True,4,14,0.125
Joey Logano,Ford,Penske,strong,True,4,13,0.1875
Ryan Blaney,Ford,Penske,strong,False,2,16,0.0
Daniel Suarez,Chevrolet,Spire,mid,False,2,16,0.0
Ryan Blaney,Ford,Penske,strong,True,3,14,0.125
Alex Bowman,Chevrolet,Hendrick,strong,False,2,16,0.0
Kyle Larson,Chevrolet,Hendrick,elite,False,5,14,0.125
Kyle Busch,Chevrolet,RCR,strong,True,5,12,0.25
Chase Elliott,Chevrolet,Hendrick,elite,False,4,15,0.0625
Kyle Busch,Chevrolet,RCR,strong,True,3,13,0.1875
Chase Elliott,Chevrolet,Hendrick,elite,False,3,15,0.0625
Chris Buescher,Ford,RFK,strong,False,4,14,0.125
Alex Bowman,Chevrolet,Hendrick,strong,False,4,15,0.0625
Joey Logano,Ford,Penske,strong,True,4,14,0.125
AJ Allmendinger,Chevrolet,Kaulig,specialist,True,3,15,0.0625
Denny Hamlin,Toyota,Joe Gibbs,elite,False,3,15,0.0625
Shane van Gisbergen,Chevrolet,Trackhouse,specialist,False,2,16,0.0
Ross Chastain,Chevrolet,Trackhouse,strong,False,2,16,0.0
Chase Elliott,Chevrolet,Hendrick,elite,False,4,14,0.125
AJ Allmendinger,Chevrolet,Kaulig,specialist,False,2,16,0.0
Ross Chastain,Chevrolet,Trackhouse,strong,True,3,13,0.1875
Denny Hamlin,Toyota,Joe Gibbs,elite,False,2,16,0.0
Kyle Larson,Chevrolet,Hendrick,elite,True,4,11,0.3125
Kyle Busch,Chevrolet,RCR,strong,False,4,13,0.1875
Kyle Busch,Chevrolet,RCR,strong,False,2,16,0.0
AJ Allmendinger,Chevrolet,Kaulig,specialist,False,2,16,0.0
Denny Hamlin,Toyota,Joe Gibbs,elite,True,6,10,0.375
Daniel Suarez,Chevrolet,Spire,mid,True,4,13,0.1875
Chase Elliott,Chevrolet,Hendrick,elite,False,3,15,0.0625
AJ Allmendinger,Chevrolet,Kaulig,specialist,False,4,14,0.125
Kyle Larson,Chevrolet,Hendrick,elite,False,5,15,0.0625
AJ Allmendinger,Chevrolet,Kaulig,specialist,True,4,16,0.0
Kyle Busch,Chevrolet,RCR,strong,False,4,15,0.0625
William Byron,Chevrolet,Hendrick,elite,False,6,11,0.3125
Shane van Gisbergen,Chevrolet,Trackhouse,specialist,False,5,11,0.3125
Shane van Gisbergen,Chevrolet,Trackhouse,specialist,True,4,13,0.1875
AJ Allmendinger,Chevrolet,Kaulig,specialist,False,4,15,0.0625
AJ Allmendinger,Chevrolet,Kaulig,specialist,False,4,14,0.125
Kyle Busch,Chevrolet,RCR,strong,False,2,16,0.0
Chris Buescher,Ford,RFK,strong,False,3,16,0.0
Chris Buescher,Ford,RFK,strong,False,5,12,0.25
Chase Elliott,Chevrolet,Hendrick,elite,True,4,14,0.125
Kyle Busch,Chevrolet,RCR,strong,False,2,16,0.0
Kyle Larson,Chevrolet,Hendrick,elite,True,5,12,0.25
Joey Logano,Ford,Penske,strong,False,2,16,0.0
Kyle Busch,Chevrolet,RCR,strong,True,3,12,0.25
Chase Elliott,Chevrolet,Hendrick,elite,True,8,8,0.5
Ross Chastain,Chevrolet,Trackhouse,strong,False,2,16,0.0
Ryan Blaney,Ford,Penske,strong,False,5,12,0.25
Kyle Busch,Chevrolet,RCR,strong,False,2,16,0.0
